ьдєщьнѩ	https://cu.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BC%D0%BE%D1%89%D1%8C:%D0%9E_%D1%81%D1%A5%D0%BC%D1%8C_%D1%82%D0%BB%D1%8A%D1%86%D1%A3	https://tr.wikipedia.org/wiki/%C4%B0lber_Ortayl%C4%B1	2	1	256
ьма	https://cu.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BC%D0%BE%D1%89%D1%8C:%D0%9E_%D1%81%D1%A5%D0%BC%D1%8C_%D1%82%D0%BB%D1%8A%D1%86%D1%A3	https://tr.wikipedia.org/wiki/%C4%B0lber_Ortayl%C4%B1	2	1	440
ьдєщьнѩ	https://cu.wikipedia.org/wiki/%D0%9F%D0%BE%D1%80%D1%82%D0%BE%D0%B3%D0%B0%D0%BB%D1%97%EA%99%97	https://tr.wikipedia.org/wiki/Portekiz	1	1	433
ьска	https://cu.wikipedia.org/wiki/%D0%9F%D0%BE%D1%80%D1%82%D0%BE%D0%B3%D0%B0%D0%BB%D1%97%EA%99%97	https://tr.wikipedia.org/wiki/Portekiz	1	2	500,646
ьства	https://cu.wikipedia.org/wiki/%D0%9F%D0%BE%D1%80%D1%82%D0%BE%D0%B3%D0%B0%D0%BB%D1%97%EA%99%97	https://tr.wikipedia.org/wiki/Portekiz	1	1	503
ьнꙑ	https://cu.wikipedia.org/wiki/%D0%9F%D0%BE%D1%80%D1%82%D0%BE%D0%B3%D0%B0%D0%BB%D1%97%EA%99%97	https://tr.wikipedia.org/wiki/Portekiz	1	1	666
ьна	https://cu.wikipedia.org/wiki/%D0%9F%D0%BE%D1%80%D1%82%D0%BE%D0%B3%D0%B0%D0%BB%D1%97%EA%99%97	https://tr.wikipedia.org/wiki/Portekiz	1	1	712
ьма	https://cu.wikipedia.org/wiki/%D0%9F%D0%BE%D1%80%D1%82%D0%BE%D0%B3%D0%B0%D0%BB%D1%97%EA%99%97	https://tr.wikipedia.org/wiki/Portekiz	1	1	772
ьдєщьнѩ	https://cu.wikipedia.org/wiki/%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D1%94%D0%B4%D1%97%EA%99%97:%D0%98%D1%81%D0%BA%D0%BE%D1%83%D1%88%D1%94%D0%BD%D0%B8%EA%99%97	https://tr.wikipedia.org/wiki/%C4%B0lber_Ortayl%C4%B1	2	1	328
ьма	https://cu.wikipedia.org/wiki/%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D1%94%D0%B4%D1%97%EA%99%97:%D0%98%D1%81%D0%BA%D0%BE%D1%83%D1%88%D1%94%D0%BD%D0%B8%EA%99%97	https://tr.wikipedia.org/wiki/%C4%B0lber_Ortayl%C4%B1	2	1	460
ьдєщьнѩ	https://cu.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BC%D0%BE%D1%89%D1%8C:%D0%9E_%D1%81%D1%A5%D0%BC%D1%8C_%D1%82%D0%BB%D1%8A%D1%86%D1%A3	https://tr.wikipedia.org/wiki/Portekiz	2	1	256
ьма	https://cu.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BC%D0%BE%D1%89%D1%8C:%D0%9E_%D1%81%D1%A5%D0%BC%D1%8C_%D1%82%D0%BB%D1%8A%D1%86%D1%A3	https://tr.wikipedia.org/wiki/Portekiz	2	1	440
ьдєщьнѩ	https://cu.wikipedia.org/wiki/%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D1%94%D0%B4%D1%97%EA%99%97:%D0%98%D1%81%D0%BA%D0%BE%D1%83%D1%88%D1%94%D0%BD%D0%B8%EA%99%97	https://tr.wikipedia.org/wiki/Portekiz	2	1	328
ьма	https://cu.wikipedia.org/wiki/%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D1%94%D0%B4%D1%97%EA%99%97:%D0%98%D1%81%D0%BA%D0%BE%D1%83%D1%88%D1%94%D0%BD%D0%B8%EA%99%97	https://tr.wikipedia.org/wiki/Portekiz	2	1	460
